"","respID","sys_StartTime","sys_EndTime","Time Taken","sys_SumPageTimes","sys_StartTimeStamp","sys_EndTimeStamp","sys_DataSource","sys_RespStatus","sys_RespRemoved","sys_DispositionCode","completion_status","sys_UserJavaScript","sys_UserAgent","sys_OperatingSystem","sys_Browser","sys_ScreenWidth","sys_CAPIDeviceID","PROLIFICPID","PID","AC1_1","AC1_2","AC1_3","AC1_4","AC1","AC2","AC3","AC4","Fixed_Task_Response","Choice1","Choice2","Choice3","Choice4","Choice5","Choice6","Choice7","Choice8","Choice9","Choice10","Choice11","Choice12","Choice13","Choice14","Choice15","Source_Imp","Expense_Imp","Benefit_Imp","Effort_Imp","Carbon_imp","Envt_r1","Envt_r2","Envt_r3","envt","Trust","Alt1","Alt2","Alt3","Alt4","Alt5","Alt6","altruism","Self_interest1","Self_interest2","Self_interest3","self_interest","Tradition1","Tradition2","Tradition3","traditionalism","Change1","Change2","Change3","open_to_change","home","feasibilitysolar","feasibilitygreen","bill","Zip","income","education","politics","politics_3_other","age","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","race_7_other","sys_CBCVersion_PilotDCE","sys_CBCDesignID_PilotDCE","sys_pagetime_1","sys_pagetime_2","sys_pagetime_3","sys_pagetime_4","sys_pagetime_5","sys_pagetime_6","sys_pagetime_7","sys_pagetime_8","sys_pagetime_9","sys_pagetime_10","sys_pagetime_11","sys_pagetime_12","sys_pagetime_13","sys_pagetime_14","sys_pagetime_15","sys_pagetime_16","sys_pagetime_17","sys_pagetime_18","sys_pagetime_19","sys_pagetime_20","sys_pagetime_21","sys_pagetime_22","sys_pagetime_23","sys_pagetime_24","sys_pagetime_25","sys_pagetime_26","sys_pagetime_27","sys_pagetime_28","sys_pagetime_29","sys_pagetime_30","sys_pagetime_31","sys_pagetime_32","sys_pagetime_33","sys_pagetime_34","sys_pagetime_35","sys_pagetime_36","sys_pagetime_37","sys_pagetime_38","sys_pagetime_39","sys_pagetime_40","sys_pagetime_41","sys_pagetime_42","sys_pagetime_43","sys_pagetime_44","att_score"
"1",8,"24 Feb 2022 - 09:05:36 CST","24 Feb 2022 - 09:23:36 CST",1080,1077,1645715136,1645716216,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Windows 10.0","Chrome 98.0.4758.102",820,NA,"585dd349445a5f00019b3b7c","585dd349445a5f0",0,1,1,1,"Incorrect","Incorrect","Incorrect","Correct","Correct",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,"Very Important","Extremely Important","Extremely Important","Slightly Important","Very Important","Strongly Agree","Strongly Agree","Strongly Agree",5,2,5,5,5,5,5,5,4.5,2,1,1,2.33333333333333,5,5,3,4,4,4,4,4,"No","No","No",95,57064,"50,000-74,999","Some College","Democrat","","26-35","Female",1,0,0,0,0,0,0,0,"",8,"CBC1_1645635478_6",NA,12,11,4,15,7,48,5,65,9,5,11,11,89,6,13,146,7,34,45,9,6,42,51,6,34,11,11,14,7,9,27,9,14,43,92,19,38,29,10,10,19,8,16,2
"2",9,"24 Feb 2022 - 09:08:26 CST","24 Feb 2022 - 09:22:04 CST",818,817,1645715306,1645716124,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15","Mac OS X 10.14.6","Safari 14.1.2",1440,NA,"5f75db6fa9ca2429bcc862a4","5f75db6fa9ca242",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",2,2,3,2,1,3,3,1,3,1,2,2,2,3,3,"Somewhat Important","Very Important","Very Important","Slightly Important","Somewhat Important","Agree","Agree","Agree",4,2,4,4,4,3,5,5,4,3,1,2,2.66666666666667,5,5,4,4,3,2,4,3,"Yes","Yes","Yes",100,60608,"100,000-149,999","Graduate or Professional degree","Democrat","","46-55","Female",0,1,0,0,0,0,0,0,"",9,"CBC1_1645635478_6",NA,7,6,23,32,34,14,18,12,24,16,13,26,19,10,9,11,15,32,8,35,21,48,24,16,30,18,11,11,20,10,26,12,16,8,22,21,86,29,5,4,6,6,3,4
"3",10,"24 Feb 2022 - 09:13:41 CST","24 Feb 2022 - 09:19:57 CST",376,372,1645715621,1645715997,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Windows 10.0","Chrome 98.0.4758.102",1366,NA,"5b197b8088ee7400012ae154","5b197b8088ee740",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",1,3,2,3,3,2,3,3,3,3,3,2,3,2,1,"Somewhat Important","Extremely Important","Very Important","Very Important","Slightly Important","Strongly Agree","Strongly Agree","Strongly Agree",5,1,3,3,3,3,5,3,3.33333333333333,3,3,3,3.66666666666667,5,6,3,4,3,5,5,4.33333333333333,"No","Dont Know","Dont Know",85,33442,"75,000-99,999","Bachelor's degree","Democrat","","26-35","Female",1,0,0,0,0,0,0,0,"",10,"CBC1_1645635478_6",NA,3,3,12,7,24,8,10,14,7,9,7,8,5,5,3,8,6,20,4,19,13,8,8,6,9,5,5,5,5,6,5,8,6,9,13,13,31,17,4,3,4,5,2,4
"4",13,"28 Feb 2022 - 16:29:24 CST","28 Feb 2022 - 16:40:33 CST",669,665,1646087364,1646088033,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Mac OS X 10.15.7","Chrome 98.0.4758.109",1512,NA,"5a2a02f6f7d9840001ab5037","5a2a02f6f7d9840001ab5037",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",2,2,2,2,3,1,1,1,1,3,1,2,3,1,2,"Very Important","Very Important","Very Important","Somewhat Important","Very Important","Strongly Agree","Strongly Agree","Neutral",4.33333333333333,3,4,5,5,4,4,4,4.33333333333333,4,2,2,2.33333333333333,3,4,3,3.33333333333333,3,3,3,3,"Yes","Yes","Yes",110,14610,"75,000-99,999","Bachelor's degree","Other","Independent, lean Democrat currently","26-35","Male",1,0,0,0,0,0,0,0,"",13,"CBC1_1645635478_6",NA,4,3,17,10,24,10,8,12,15,22,14,16,10,5,5,8,12,21,8,30,22,19,23,12,14,10,12,6,12,10,11,27,16,14,15,23,62,66,3,5,20,9,0,4
"5",14,"28 Feb 2022 - 16:31:52 CST","28 Feb 2022 - 16:37:44 CST",352,350,1646087512,1646087864,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Windows 10.0","Chrome 98.0.4758.102",1920,NA,"6172607a932e0b0c3523854d","6172607a932e0b0c3523854d",0,0,1,0,"Incorrect","Incorrect","Correct","Correct","Correct",1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,"Slightly Important","Very Important","Extremely Important","Slightly Important","Very Important","Strongly Agree","Agree","Strongly Agree",4.66666666666667,2,5,4,6,4,4,5,4.33333333333333,3,2,3,3,4,6,5,5.66666666666667,6,5,5,5.33333333333333,"Yes","Yes","Dont Know",180,94536,"100,000-149,999","High School/GED","Democrat","","26-35","Female",1,0,0,0,0,0,0,0,"",14,"CBC1_1645635478_6",NA,7,6,5,12,17,6,7,12,11,1,11,3,5,5,-1,11,13,2,11,15,11,5,13,8,5,7,5,7,5,4,8,10,8,1,15,11,32,19,3,3,4,4,2,3
"6",15,"28 Feb 2022 - 16:32:11 CST","28 Feb 2022 - 16:44:52 CST",761,760,1646087531,1646088292,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:97.0) Gecko/20100101 Firefox/97.0","Mac OS X 10.15","Firefox 97.0",1440,NA,"60fcdfac81bec43078236e55","60fcdfac81bec43078236e55",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,"Extremely Important","Extremely Important","Somewhat Important","Slightly Important","Extremely Important","Strongly Agree","Strongly Agree","Strongly Agree",5,1,5,5,5,5,5,5,4.33333333333333,1,3,3,2.66666666666667,2,5,4,4.66666666666667,5,5,5,5,"No","No","No",100,64109,"25,000-49,999","Some College","Other","green","26-35","Female",1,0,0,1,0,0,0,0,"",15,"CBC1_1645635478_6",NA,69,6,120,23,34,13,19,9,7,13,10,9,13,16,7,18,5,20,9,19,33,17,13,4,13,22,11,17,10,5,8,10,7,6,16,15,59,24,7,5,9,8,2,4
"7",16,"28 Feb 2022 - 16:36:36 CST","28 Feb 2022 - 16:46:51 CST",615,608,1646087796,1646088411,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36","Windows 10.0","Chrome 98.0.4758.82",1280,NA,"5e920ad180280554256ff9e8","5e920ad180280554256ff9e8",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,"Not at all important","Extremely Important","Slightly Important","Somewhat Important","Not at all important","Neutral","Neutral","Neutral",3,2,2,2,3,2,3,3,2.66666666666667,3,3,2,3.66666666666667,6,6,5,5,4,3,3,3.33333333333333,"Yes","No","No",48,92618,"50,000-74,999","Bachelor's degree","Republican","","56-65","Male",1,0,0,0,0,0,0,0,"",16,"CBC1_1645635478_6",NA,10,6,16,37,92,39,20,23,10,13,2,8,15,8,4,9,8,28,9,22,5,11,5,9,7,7,14,5,12,7,5,11,5,8,19,20,45,19,3,3,5,3,1,4
"8",17,"28 Feb 2022 - 16:49:49 CST","28 Feb 2022 - 16:58:37 CST",528,526,1646088589,1646089117,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","Mac OS X 10.15.7","Chrome 98.0.4758.102",1440,NA,"61077a5736a7d5ce7a844737","61077a5736a7d5ce7a844737",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",2,1,2,2,1,2,1,3,1,2,2,2,1,2,2,"Somewhat Important","Extremely Important","Somewhat Important","Slightly Important","Extremely Important","Strongly Agree","Agree","Agree",4.33333333333333,1,5,5,5,5,5,5,4.5,2,1,3,2.33333333333333,3,5,3,4,4,3,4,3.66666666666667,"No","No","No",150,47401,"Less than $25,000","Some College","Other","Independent","18-25","Male",1,0,0,0,0,0,0,0,"",17,"CBC1_1645635478_6",NA,8,3,12,10,23,9,9,10,6,14,9,11,8,7,2,7,8,4,20,30,20,13,13,19,9,10,17,12,8,19,16,6,8,7,20,16,55,19,5,4,13,5,2,4
"9",18,"28 Feb 2022 - 16:52:51 CST","28 Feb 2022 - 17:02:56 CST",605,603,1646088771,1646089376,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15","Mac OS X 10.15.7","Safari 15.2",1447,NA,"610064f3ff545af9d849df6e","610064f3ff545af9d849df6e",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",3,3,1,3,1,2,2,2,3,3,1,2,1,3,2,"Slightly Important","Very Important","Slightly Important","Not at all important","Slightly Important","Strongly Agree","Strongly Agree","Strongly Agree",5,2,3,4,5,3,5,5,4,2,1,4,3,4,5,4,3.66666666666667,2,4,4,3.33333333333333,"No","Yes","Yes",150,28640,"100,000-149,999","Some College","Other","none","18-25","Male",1,0,0,0,0,0,0,0,"",18,"CBC1_1645635478_6",NA,4,4,15,80,20,8,8,14,8,29,9,7,7,9,17,22,7,21,6,15,13,11,14,4,6,4,5,7,9,11,6,9,13,5,19,20,61,43,6,5,14,5,3,4
"10",19,"28 Feb 2022 - 16:53:41 CST","28 Feb 2022 - 17:00:54 CST",433,432,1646088821,1646089254,1,5,0,NA,"Redirect",1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0","Windows 10.0","Firefox 97.0",1148,NA,"5d422e095a696a0019afa849","5d422e095a696a0019afa849",0,0,1,1,"Correct","Correct","Correct","Correct","Correct",2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,"Very Important","Slightly Important","Slightly Important","Slightly Important","Extremely Important","Agree","Agree","Strongly Agree",4.33333333333333,1,5,5,5,5,5,5,4.5,2,1,1,2,4,4,3,4,5,5,4,4.66666666666667,"No","No","Yes",125,94121,"150,000-199,999","Bachelor's degree","Democrat","","46-55","Female",1,0,0,0,0,0,0,0,"",19,"CBC1_1645635478_6",NA,8,6,9,7,24,6,9,5,5,6,7,9,5,4,4,6,5,18,6,19,17,12,12,15,13,10,13,11,11,11,13,10,10,12,11,14,29,17,3,4,9,5,2,4
