StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ProID,AC1,AC100_NC,AC60_NC,AC30_NC,AC3,PV_AC1,Interest,Intention,Distrust1,Distrust2,Ben1,Ben2,Ben3,Ben4,SN1,SN2,SN3,TB1,TB2,SB1,SB2,SB3,SB4,cns1,cns2,cns3,cijm1,cijm2,cijm3,penv_nature,penv_localcom,penv_world,penv_futuregen,penv_worrycc,penv_impcom,penv_impworld,bill,CCA_aware,home,have_solar,pv_ads,Zip,birth_year_1,edu,inc,ideology,ideology_7_TEXT,politics,politics_4_TEXT,gender,gender_4_TEXT,race,race_7_TEXT,PROLIFIC_PID,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,PID,AC1,AC100_NC,AC60_NC,AC30_NC,AC3,PV_AC1,Intention - I am interested in getting solar panels for my home,"Intention - I intend to call/email SunSpark, the solar installation company, to get a quote",trust - I trust that my electricity provider would always act in my best interest,trust - I trust the communications I receive from my electricity provider,TPB - Solar panels can reduce my household’s environmental impact,TPB - Solar panels can reduce carbon emissions for my residence,TPB - Solar panels can save money for my household in the long run,TPB - Solar panels improve the resale value of my home,TPB - Most people who are important to me would support me if I decided to go solar,TPB - People who are important to me would be in favor of installing solar panels,TPB - My family members would be opposed to getting solar panels,TPB - It’s not sunny enough in my area for solar panels to work well,"TPB - At my home, there’s no place to put solar panels that would get enough sunlight",TPB - Solar panels would not provide the level of benefits I would be expecting,TPB - Installing solar panels is a hassle,TPB - I can’t afford solar on my family budget,"TPB - Solar panels are still very expensive, even with government incentives",CNS - I continuously look for new experiences from new products,CNS - I continuously look for new products and brands,CNS - I like to visit places where I’m exposed to information about new products and brands,"CNS - Before I buy a new product or service, I often ask acquaintances about their experiences with that product or service","CNS - Before buying a new brand, I usually ask someone who has experience with the brand for advice","CNS - When considering a new product/service, I usually trust the opinions of friends who have used the product/service",P_env_norm - I care about conserving nature,P_env_norm - It is important to me to take care of the environment in my local community,P_env_norm - It is important to me to protect the environment for people around the world,P_env_norm - It is important to me to protect the environment for future generations,P_env_norm - I am worried about climate change,P_env_norm - I am worried about the impacts of climate change in my community,P_env_norm - I am worried about the impacts of climate change around the world,bill,CCA_aware,home,Have_solar?,PV_ads,What is your US Zip Code?,birth_year - What year were you born?,edu,income,ideology - Selected Choice,ideology - Something else (describe) - Text,politics - Selected Choice,politics - Another party (please specify) - Text,Gender - Selected Choice,Gender - Prefer to self-describe - Text,Race - Selected Choice,Race - Other (please describe) - Text,PROLIFIC_PID,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID122""}","{""ImportId"":""QID127""}","{""ImportId"":""QID124""}","{""ImportId"":""QID103""}","{""ImportId"":""QID107""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID91_2""}","{""ImportId"":""QID91_3""}","{""ImportId"":""QID91_4""}","{""ImportId"":""QID91_5""}","{""ImportId"":""QID91_6""}","{""ImportId"":""QID91_7""}","{""ImportId"":""QID91_8""}","{""ImportId"":""QID91_9""}","{""ImportId"":""QID91_10""}","{""ImportId"":""QID91_11""}","{""ImportId"":""QID91_12""}","{""ImportId"":""QID91_13""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID39_6""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID25_4""}","{""ImportId"":""QID25_5""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID25_7""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID50""}","{""ImportId"":""QID42""}","{""ImportId"":""QID97""}","{""ImportId"":""QID131_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_7_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_4_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_4_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_7_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Condition""}"
8/10/2023 16:04,8/10/2023 16:09,IP Address,172.56.105.51,100,338,TRUE,8/10/2023 16:09,R_1Ecgur0mfNw8wUX,,,,,47.6034,-122.3414,anonymous,EN,5e7d2dd68356c70e07dac499,New Electricity Provider,TRUE,,,"Solar,Wind,Biomass,Hydropower","Installation,Maintenance,Troubleshooting",Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,999,No,No,No,No,98155,2000,Bachelor's degree,"$75,000 - $99,999",Liberal,,Democrat,,Female,,Asian,,5e7d2dd68356c70e07dac499,4
8/10/2023 16:04,8/10/2023 16:10,IP Address,104.49.85.227,100,331,TRUE,8/10/2023 16:10,R_3NJTlFjnXdAVVr4,,,,,39.9126,-83.7821,anonymous,EN,5c6d04805cd55f0001129c26,Federal Government,,,TRUE,"Wind,Biomass,Hydropower","Installation,Maintenance,Troubleshooting,Financing",Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,200,Yes,No,No,Yes,45344,1975,High school diploma or GED,"Less than $25,000",Very Liberal,,None of these,,Female,,White or Caucasian,,5c6d04805cd55f0001129c26,6
8/10/2023 16:19,8/10/2023 16:26,IP Address,47.157.50.202,100,439,TRUE,8/10/2023 16:26,R_2tF2idhnNrHuABd,,,,,34.1535,-117.8457,anonymous,EN,5b75d448be28580001b5a603,New Electricity Provider,TRUE,,,"Solar,Wind,Biomass,Hydropower","Installation,Maintenance,Troubleshooting,Financing",Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,150,No,Yes,No,Yes,91740,1970,Bachelor's degree,"$75,000 - $99,999",Conservative,,Independent,,Male,,Asian,,5b75d448be28580001b5a603,4
8/10/2023 16:18,8/10/2023 16:26,IP Address,47.156.127.198,100,469,TRUE,8/10/2023 16:26,R_2t3xBQXlTIXmFSy,,,,,33.9263,-118.0034,anonymous,EN,6496666f93b036c324819ea9,New Electricity Provider,,,,None of the above,"Installation,Maintenance,Troubleshooting,Financing",Strongly agree,Strongly agree,Disagree,Somewhat disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,999,No,No,Yes,Yes,90602,2004,Some college but no degree,"$150,000 or more",Moderate or Middle of the Road,,Independent,,Male,,White or Caucasian,,6496666f93b036c324819ea9,7
8/10/2023 16:24,8/10/2023 16:28,IP Address,73.11.114.247,100,232,TRUE,8/10/2023 16:28,R_2VeVrQpiFZXvLC8,,,,,45.5645,-122.6447,anonymous,EN,56ee27ad65ca4d000cc39dd3,,,,,,"Installation,Maintenance,Troubleshooting,Financing",Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,250,No,Yes,No,Yes,97233,1985,Some college but no degree,"$75,000 - $99,999",Very Liberal,,Another party (please specify),unaffiliated progressive/socialist,Female,,White or Caucasian,,56ee27ad65ca4d000cc39dd3,8
8/10/2023 16:21,8/10/2023 16:29,IP Address,174.174.76.34,100,491,TRUE,8/10/2023 16:29,R_3fUcVHnNZrkcdlF,,,,,45.4451,-122.5397,anonymous,EN,6121aaee9d29f0c6e3bc8bea,New Electricity Provider,,,TRUE,"Solar,Wind,Biomass,Hydropower","Installation,Maintenance,Troubleshooting,Financing",Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,60,Not Sure,No,No,Yes,97222,1970,Prefer not to say,"Less than $25,000",Liberal,,Another party (please specify),Democrat in name only,Female,,"White or Caucasian,Asian",,6121aaee9d29f0c6e3bc8bea,6
8/10/2023 16:25,8/10/2023 16:31,IP Address,172.56.184.166,100,374,TRUE,8/10/2023 16:31,R_2wFuEP4gOwViYc9,,,,,33.7256,-117.9119,anonymous,EN,611996a689ba5a92f09f2a27,Your Current Electricity Provider,,TRUE,,"Solar,Wind,Hydropower","Installation,Maintenance,Troubleshooting",Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree,999,No,No,No,Yes,45251,2001,High school diploma or GED,"$50,000 - $74,999",Liberal,,Independent,,Non binary/ third gender,,White or Caucasian,,611996a689ba5a92f09f2a27,2
8/10/2023 16:24,8/10/2023 16:33,IP Address,72.218.5.12,100,528,TRUE,8/10/2023 16:33,R_27KhuG6dHQ2nuqy,,,,,36.8531,-76.2194,anonymous,EN,63d17cf82715a833d22d42fb,Your Current Electricity Provider,,TRUE,,"Solar,Wind,Hydropower","Installation,Maintenance,Troubleshooting,Financing",Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Don't know,Strongly agree,Don't know,Somewhat agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,200,No,Yes,No,Yes,23509,1984,Bachelor's degree,"$100,000 - $149,999",Moderate or Middle of the Road,,Independent,,Female,,Black or African American,,63d17cf82715a833d22d42fb,2
